Payee,Paid_By,Payment_Amount,Payment_Date,Payee_Type,Payee_Address,City_State_Zip,Payment_Year,Expenditure_Type,Date_Reported,Report_Filed,Expense_Description,Travel_Outside_Texas,Political_Obligation,Reimbursement_Intended,Correction,View_Report,TRANSACTION_ID,Single Member Council Districts,BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes
"Potomac Strategy Group, LLC",Save Austin Now PAC,2104.54,03/14/2024,ENTITY,"807 Brazos St., Suite 304","Austin, TX, 78701",2024,Political Expenditure From Political Contributions,07/27/2024,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | Consulting and Strategy,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=433297),R20240101100718369-F00017,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,8150.00,03/15/2024,ENTITY,"807 Brazos St., Suite 304","Austin, TX, 78701",2024,Political Expenditure From Political Contributions,07/27/2024,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | Consulting,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=433297),R20240101100718369-F00004,,,,,
BeeHiiv,"Kelly, Mackenzie",1.74,06/25/2024,ENTITY,"228 Park Ave S, #29976","New York, NY, 10003",2024,Political Expenditure From Political Contributions,07/15/2024,COH: Candidate /Officeholder Campaign Finance Report,ADVERTISE | Campaign Newsletter,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432430),R20240101100718002-F00014,,,,,
United States Postal Service,"Kelly, Mackenzie",340.00,05/22/2024,ENTITY,10109 Lake Creek Parkway,"Austin, TX, 78729",2024,Political Expenditure From Political Contributions,07/15/2024,COH: Candidate /Officeholder Campaign Finance Report,FEES | Campaign Postage Stamps,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432430),R20240101100718002-F00004,,,,,
Balcones Country Club,"Kelly, Mackenzie",569.60,05/28/2024,ENTITY,8600 Balcones Club Drive,"Austin, TX, 78750",2024,Political Expenditure From Political Contributions,07/15/2024,COH: Candidate /Officeholder Campaign Finance Report,FOOD | Campaign Fundraiser Expense,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432430),R20240101100718002-F00009,,,,,
Reale's Italian Cafe,"Kelly, Mackenzie",228.31,05/13/2024,ENTITY,"13450 Research Blvd , Ste 230","Austin, TX, 78750",2024,Political Expenditure From Political Contributions,07/15/2024,COH: Candidate /Officeholder Campaign Finance Report,FOOD | Staff meeting meal,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432430),R20240101100718002-F00003,,,,,
Pluckers,"Kelly, Mackenzie",68.17,02/09/2024,ENTITY,11066 Pecan Park Blvd,"Cedar Park, TX, 78613",2024,Political Expenditure From Political Contributions,07/15/2024,COH: Candidate /Officeholder Campaign Finance Report,FOOD | Staff meeting meal,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432430),R20240101100718002-F00010,,,,,
EZTexting.com,"Kelly, Mackenzie",1056.00,06/12/2024,ENTITY,"548 Market Street, Suite 44523","San Francisco, CA, 94105",2024,Political Expenditure From Political Contributions,07/15/2024,COH: Candidate /Officeholder Campaign Finance Report,ADVERTISE | Direct Voter Contact,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432430),R20240101100718002-F00011,,,,,
United States Postal Service,"Kelly, Mackenzie",340.00,05/21/2024,ENTITY,10109 Lake Creek Parkway,"Austin, TX, 78729",2024,Political Expenditure From Political Contributions,07/15/2024,COH: Candidate /Officeholder Campaign Finance Report,FEES | Campaign Postage Stamps,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432430),R20240101100718002-F00005,,,,,
"Anedot, Inc","Kelly, Mackenzie",2390.79,01/02/2024,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2024,Political Expenditure From Political Contributions,07/15/2024,COH: Candidate /Officeholder Campaign Finance Report,"FEES | Payment processing fees, Jan 2, 2024 - June 28, 2024",,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432430),R20240101100718002-F00008,,,,,
BeeHiiv,"Kelly, Mackenzie",99.00,05/28/2024,ENTITY,"228 Park Ave S, #29976","New York, NY, 10003",2024,Political Expenditure From Political Contributions,07/15/2024,COH: Candidate /Officeholder Campaign Finance Report,ADVERTISE | Campaign Newsletter,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432430),R20240101100718002-F00012,,,,,
Balcones Country Club,"Kelly, Mackenzie",729.28,02/23/2024,ENTITY,8600 Balcones Club Drive,"Austin, TX, 78750",2024,Political Expenditure From Political Contributions,07/15/2024,COH: Candidate /Officeholder Campaign Finance Report,FOOD | Campaign fundraiser expense,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432430),R20240101100718002-F00013,,,,,
United States Postal Service,"Kelly, Mackenzie",170.00,03/06/2024,ENTITY,10109 Lake Creek Parkway,"Austin, TX, 78729",2024,Political Expenditure From Political Contributions,07/15/2024,COH: Candidate /Officeholder Campaign Finance Report,OVERHEAD | Campaign P.O. Box Rental,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432430),R20240101100718002-F00007,,,,,
BeeHiiv,"Kelly, Mackenzie",149.00,06/24/2024,ENTITY,"228 Park Ave S, #29976","New York, NY, 10003",2024,Political Expenditure From Political Contributions,07/15/2024,COH: Candidate /Officeholder Campaign Finance Report,ADVERTISE | Campaign Newsletter,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432430),R20240101100718002-F00006,,,,,
EZTexting.com,"Kelly, Mackenzie",79.95,05/16/2024,ENTITY,"548 Market Street, Suite 44523","San Francisco, CA, 94105",2024,Political Expenditure From Political Contributions,07/15/2024,COH: Candidate /Officeholder Campaign Finance Report,ADVERTISE | Direct Voter Contact,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432430),R20240101100718002-F00002,,,,,
Balcones Country Club,"Kelly, Mackenzie",1386.71,05/24/2024,ENTITY,8600 Balcones Club Drive,"Austin, TX, 78750",2024,Political Expenditure From Political Contributions,07/15/2024,COH: Candidate /Officeholder Campaign Finance Report,EVENT | Fundraising expense,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432430),R20240101100718002-F00017,,,,,
Office Depot,"Kelly, Mackenzie",173.87,05/20/2024,ENTITY,11066 Pecan Park,"Cedar Park, TX, 78613",2024,Political Expenditure From Political Contributions,07/15/2024,COH: Candidate /Officeholder Campaign Finance Report,OVERHEAD | Campaign Office Supplies,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432430),R20240101100718002-F00015,,,,,
"Dollar Tree, Inc.","Kelly, Mackenzie",60.68,05/13/2024,ENTITY,"13096 N Hwy 183, Ste 103","Austin, TX, 78750",2024,Political Expenditure From Political Contributions,07/15/2024,COH: Candidate /Officeholder Campaign Finance Report,OVERHEAD | Campaign Office Supplies,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432430),R20240101100718002-F00001,,,,,
"Streak, Inc.","Kelly, Mackenzie",828.00,05/28/2024,ENTITY,"160 Pine Street , Ste 250","San Francisco, CA, 94111",2024,Political Expenditure From Political Contributions,07/15/2024,COH: Candidate /Officeholder Campaign Finance Report,ADVERTISE | Campaign Digital Voter Contact,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432430),R20240101100718002-F00016,,,,,
"Anedot, Inc.","Kelly, Mackenzie",171.51,12/19/2023,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2023,Political Expenditure From Political Contributions,01/16/2024,COH: Candidate /Officeholder Campaign Finance Report,FEES | Donation processing fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=422129),R20230701100716785-F00010,,,,,
"Anedot, Inc.","Kelly, Mackenzie",96.40,12/15/2023,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2023,Political Expenditure From Political Contributions,01/16/2024,COH: Candidate /Officeholder Campaign Finance Report,FEES | Donation processing fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=422129),R20230701100716785-F00014,,,,,
"Anedot, Inc.","Kelly, Mackenzie",202.60,12/07/2023,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2023,Political Expenditure From Political Contributions,01/16/2024,COH: Candidate /Officeholder Campaign Finance Report,FEES | Donation processing fee,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=422129),R20230701100716785-F00004,,,,,
"Anedot, Inc.","Kelly, Mackenzie",22.60,12/23/2023,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2023,Political Expenditure From Political Contributions,01/16/2024,COH: Candidate /Officeholder Campaign Finance Report,FEES | Donation processing fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=422129),R20230701100716785-F00013,,,,,
"Anedot, Inc.","Kelly, Mackenzie",77.80,12/17/2023,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2023,Political Expenditure From Political Contributions,01/16/2024,COH: Candidate /Officeholder Campaign Finance Report,FEES | Donation processing fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=422129),R20230701100716785-F00001,,,,,
"Anedot, Inc.","Kelly, Mackenzie",251.80,12/09/2023,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2023,Political Expenditure From Political Contributions,01/16/2024,COH: Candidate /Officeholder Campaign Finance Report,FEES | Donation processing fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=422129),R20230701100716785-F00006,,,,,
"Anedot, Inc.","Kelly, Mackenzie",321.00,12/21/2023,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2023,Political Expenditure From Political Contributions,01/16/2024,COH: Candidate /Officeholder Campaign Finance Report,FEES | Donation processing fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=422129),R20230701100716785-F00011,,,,,
"Anedot, Inc.","Kelly, Mackenzie",47.20,12/03/2023,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2023,Political Expenditure From Political Contributions,01/16/2024,COH: Candidate /Officeholder Campaign Finance Report,FEES | Donation processing fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=422129),R20230701100716785-F00007,,,,,
Fed Ex Office,"Kelly, Mackenzie",254.39,12/26/2023,ENTITY,"13729 N Highway 183, Ste 820","Austin, TX, 78750",2023,Political Expenditure From Political Contributions,01/16/2024,COH: Candidate /Officeholder Campaign Finance Report,PRINTING | Campaign Printing Expense,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=422129),R20230701100716785-F00012,,,,,
"Anedot, Inc.","Kelly, Mackenzie",130.30,12/01/2023,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2023,Political Expenditure From Political Contributions,01/16/2024,COH: Candidate /Officeholder Campaign Finance Report,FEES | Donation processing fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=422129),R20230701100716785-F00016,,,,,
"Anedot, Inc.","Kelly, Mackenzie",321.00,12/21/2023,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2023,Political Expenditure From Political Contributions,01/16/2024,COH: Candidate /Officeholder Campaign Finance Report,FEES | Donation processing fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=422129),R20230701100716785-F00009,,,,,
"Anedot, Inc.","Kelly, Mackenzie",44.90,12/27/2023,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2023,Political Expenditure From Political Contributions,01/16/2024,COH: Candidate /Officeholder Campaign Finance Report,FEES | Donation processing fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=422129),R20230701100716785-F00005,,,,,
"Anedot, Inc.","Kelly, Mackenzie",37.54,12/11/2023,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2023,Political Expenditure From Political Contributions,01/16/2024,COH: Candidate /Officeholder Campaign Finance Report,FEES | Donation processing fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=422129),R20230701100716785-F00008,,,,,
"Anedot, Inc.","Kelly, Mackenzie",18.30,12/25/2023,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2023,Political Expenditure From Political Contributions,01/16/2024,COH: Candidate /Officeholder Campaign Finance Report,FEES | Donation processing fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=422129),R20230701100716785-F00003,,,,,
"Anedot, Inc.","Kelly, Mackenzie",85.60,12/13/2023,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2023,Political Expenditure From Political Contributions,01/16/2024,COH: Candidate /Officeholder Campaign Finance Report,FEES | Donation processing fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=422129),R20230701100716785-F00002,,,,,
United States Postal Service,"Kelly, Mackenzie",330.00,12/26/2023,ENTITY,10109 Lake Creek Parkway,"Austin, TX, 78729",2023,Political Expenditure From Political Contributions,01/16/2024,COH: Candidate /Officeholder Campaign Finance Report,OVERHEAD | Campaign postage,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=422129),R20230701100716785-F00015,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,2500.00,06/09/2023,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,OVERHEAD | PAC Management,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00011,,,,,
"Mackowiak, Matt",Save Austin Now PAC,1018.03,03/10/2023,INDIVIDUAL,"807 Brazos Street, #720","Austin, TX, 78701",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,OVERHEAD | Reimbursement - Mailchimp Email Services,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00034,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,5000.00,02/09/2023,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,OVERHEAD | PAC Management,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00009,,,,,
WAB Holdings LLC,Save Austin Now PAC,17321.00,02/09/2023,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,POLLING | Research Project 1,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00038,,,,,
WAB Holdings LLC,Save Austin Now PAC,21231.00,02/13/2023,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,POLLING | Research Project 1,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00056,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,2000.00,03/10/2023,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,OVERHEAD | Data Project,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00002,,,,,
WAB Holdings LLC,Save Austin Now PAC,9643.87,03/01/2023,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,POLLING | Research Project,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00064,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,2250.00,04/26/2023,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,OVERHEAD | Data Project Management,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00058,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,2300.00,06/23/2023,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,OVERHEAD | PAC Management,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00052,,,,,
WAB Holdings LLC,Save Austin Now PAC,5401.43,05/17/2023,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,POLLING | Research Project 1,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00057,,,,,
"Mackowiak, Matt",Save Austin Now PAC,1499.64,02/23/2023,INDIVIDUAL,"807 Brazos Street, #720","Austin, TX, 78701",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,OVERHEAD | Reimbursement - NAR Conference,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00075,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,1305.00,03/24/2023,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,OVERHEAD | Data Project Management,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00048,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,2000.00,04/14/2023,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,OVERHEAD | Data Project Management,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00003,,,,,
"Mackowiak, Matt",Save Austin Now PAC,7005.00,03/21/2023,INDIVIDUAL,"807 Brazos Street, #720","Austin, TX, 78701",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,OVERHEAD | PAC Management,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00019,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,2500.00,04/13/2023,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,OVERHEAD | PAC Management,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00015,,,,,
WAB Holdings LLC,Save Austin Now PAC,16121.31,02/17/2023,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,POLLING | Research Project,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00077,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,1200.00,01/23/2023,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,OVERHEAD | Data Project,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00018,,,,,
WAB Holdings LLC,Save Austin Now PAC,12873.23,03/23/2023,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,POLLING | Research Project 1,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00032,,,,,
WAB Holdings LLC,Save Austin Now PAC,26432.00,02/15/2023,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2023,Non-Political Expenditure From Political Contributions,07/18/2023,CORPAC: Correction Affidavit For Political Committee,POLLING | Research Project 1,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=412137),R20230101100716368-F00010,,,,,
WAB Holdings LLC,Save Austin Now PAC,12873.23,03/23/2023,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2023,Non-Political Expenditure From Political Contributions,07/17/2023,GPAC: General-Purpose Committee Campaign Finance Report,POLLING | Research Project 1,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=412135),R20230101100716360-F00017,,,,,
WAB Holdings LLC,Save Austin Now PAC,21231.00,02/13/2023,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2023,Non-Political Expenditure From Political Contributions,07/17/2023,GPAC: General-Purpose Committee Campaign Finance Report,POLLING | Research Project 1,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=412135),R20230101100716360-F00061,,,,,
WAB Holdings LLC,Save Austin Now PAC,9643.87,03/01/2023,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2023,Non-Political Expenditure From Political Contributions,07/17/2023,GPAC: General-Purpose Committee Campaign Finance Report,POLLING | Research Project,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=412135),R20230101100716360-F00045,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,2500.00,06/09/2023,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2023,Non-Political Expenditure From Political Contributions,07/17/2023,GPAC: General-Purpose Committee Campaign Finance Report,OVERHEAD | PAC Management,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=412135),R20230101100716360-F00038,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,2500.00,04/13/2023,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2023,Non-Political Expenditure From Political Contributions,07/17/2023,GPAC: General-Purpose Committee Campaign Finance Report,OVERHEAD | PAC Management,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=412135),R20230101100716360-F00010,,,,,
WAB Holdings LLC,Save Austin Now PAC,17321.00,02/09/2023,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2023,Non-Political Expenditure From Political Contributions,07/17/2023,GPAC: General-Purpose Committee Campaign Finance Report,POLLING | Research Project 1,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=412135),R20230101100716360-F00005,,,,,
WAB Holdings LLC,Save Austin Now PAC,26432.00,02/15/2023,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2023,Non-Political Expenditure From Political Contributions,07/17/2023,GPAC: General-Purpose Committee Campaign Finance Report,POLLING | Research Project 1,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=412135),R20230101100716360-F00020,,,,,
WAB Holdings LLC,Save Austin Now PAC,16121.31,02/17/2023,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2023,Non-Political Expenditure From Political Contributions,07/17/2023,GPAC: General-Purpose Committee Campaign Finance Report,POLLING | Research Project,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=412135),R20230101100716360-F00051,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,5000.00,02/09/2023,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2023,Non-Political Expenditure From Political Contributions,07/17/2023,GPAC: General-Purpose Committee Campaign Finance Report,OVERHEAD | PAC Management,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=412135),R20230101100716360-F00058,,,,,
WAB Holdings LLC,Save Austin Now PAC,5401.43,05/17/2023,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2023,Non-Political Expenditure From Political Contributions,07/17/2023,GPAC: General-Purpose Committee Campaign Finance Report,POLLING | Research Project 1,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=412135),R20230101100716360-F00028,,,,,
WAB Holdings LLC,Save Austin Now PAC,13836.25,11/16/2022,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2022,Political Expenditure From Political Contributions,01/17/2023,GPAC: General-Purpose Committee Campaign Finance Report,POLLING | Local Austin Polling,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=401233),R20221109100715179-F00011,,,,,
WAB Holdings LLC,Save Austin Now PAC,18750.00,11/22/2022,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2022,Political Expenditure From Political Contributions,01/17/2023,GPAC: General-Purpose Committee Campaign Finance Report,POLLING | Local Austin Polling,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=401233),R20221109100715179-F00008,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,2500.00,12/14/2022,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2022,Political Expenditure From Political Contributions,01/17/2023,GPAC: General-Purpose Committee Campaign Finance Report,OVERHEAD | PAC Management,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=401233),R20221109100715179-F00003,,,,,
Goodbuzz Solutions,Save Austin Now PAC,2266.67,11/16/2022,ENTITY,"3571 Far W Blvd , #112","Austin, TX, 78731",2022,Political Expenditure From Political Contributions,01/17/2023,GPAC: General-Purpose Committee Campaign Finance Report,FUNDRAISE | Fundraising Service Fee,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=401233),R20221109100715179-F00012,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,1000.00,12/13/2022,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2022,Political Expenditure From Political Contributions,01/17/2023,GPAC: General-Purpose Committee Campaign Finance Report,OVERHEAD | PAC Management,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=401233),R20221109100715179-F00001,,,,,
"Mackowiak, Matt",Save Austin Now PAC,2500.00,12/21/2022,INDIVIDUAL,"807 Brazos Street, #720","Austin, TX, 78701",2022,Political Expenditure From Political Contributions,01/17/2023,GPAC: General-Purpose Committee Campaign Finance Report,LOAN | Reimbursement to M Mackowiak,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=401233),R20221109100715179-F00015,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,5000.00,12/02/2022,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2022,Political Expenditure From Political Contributions,01/17/2023,GPAC: General-Purpose Committee Campaign Finance Report,POLLING | Data Project,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=401233),R20221109100715179-F00004,,,,,
WAB Holdings LLC,Save Austin Now PAC,12618.88,11/01/2022,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2022,Expenditure,11/08/2022,PACATX7: Pre-Election Report Political Committees: Form ATX.7PAC,CONSULT,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=396769),R20221030100714772-F00003,,,,,
WAB Holdings LLC,Save Austin Now PAC,2985.99,11/02/2022,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2022,Expenditure,11/08/2022,PACATX7: Pre-Election Report Political Committees: Form ATX.7PAC,CONSULT,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=396769),R20221030100714772-F00009,,,,,
Goodbuzz Solutions,Save Austin Now PAC,2266.67,10/28/2022,ENTITY,"3571 Far W Blvd , #112","Austin, TX, 78731",2022,Political Expenditure From Political Contributions,11/01/2022,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | Fundraising Consulting Fee,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=396169),R20220930100714761-F00009,,,,,
Goodbuzz Solutions,Save Austin Now PAC,2266.66,10/14/2022,ENTITY,"3571 Far W Blvd , #112","Austin, TX, 78731",2022,Political Expenditure From Political Contributions,11/01/2022,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | Fundraising Consulting Fee,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=396169),R20220930100714761-F00007,,,,,
